日期,累计收益,当日投资组合
2021-08-23 00:00:00,0.029415519640501472,"[0.3849700458536819, 0.34841398964402076, 0.26661596450229735]"
2021-08-24 00:00:00,0.03481770968805721,"[0.3805558460407452, 0.3454806614475836, 0.27396349251167107]"
2021-08-25 00:00:00,0.04037356342862063,"[0.3792057667338954, 0.3464784600514276, 0.2743157732146771]"
2021-08-26 00:00:00,0.02400749348762222,"[0.3834737199759379, 0.34729209999959776, 0.26923418002446436]"
2021-08-27 00:00:00,0.029035958388261292,"[0.3890602544399917, 0.34846110881442893, 0.2624786367455794]"
2021-08-30 00:00:00,0.03174891588251204,"[0.38927832582422345, 0.3453027661334116, 0.26541890804236506]"
2021-08-31 00:00:00,0.02678724146504892,"[0.3906490310240302, 0.3457635227140581, 0.26358744626191166]"
2021-09-01 00:00:00,0.03362175365870932,"[0.3934485219703216, 0.34687395374360425, 0.2596775242860742]"
2021-09-02 00:00:00,0.04256340821886441,"[0.3944628516634763, 0.34930966769137856, 0.2562274806451452]"
2021-09-03 00:00:00,0.03717453592217965,"[0.3850995673480239, 0.3546644499369833, 0.26023598271499276]"
2021-09-06 00:00:00,0.05940635838235932,"[0.38065811606806255, 0.35680814663473265, 0.2625337372972048]"
2021-09-07 00:00:00,0.07440220644817347,"[0.3833186476670433, 0.3773200191450093, 0.23936133318794733]"
2021-09-08 00:00:00,0.08204050774031112,"[0.38915376442268435, 0.398137175909449, 0.21270905966786663]"
2021-09-09 00:00:00,0.08687570539442774,"[0.39561086384874433, 0.3927108582787116, 0.21167827787254415]"
2021-09-10 00:00:00,0.09033491434966572,"[0.39342321215678433, 0.389610250656914, 0.2169665371863016]"
